MP,SCATS_Site_ID,Cross_Street,VR57_Misol_cycle_length
35.12,1800,Hillsdale Rd,101
35.57,1801,Rues Ln (CR-617),101
35.89,1802,Brunswick Square Mall Drwy / Cindy Wy,101
36.21,1803,Racetrack Rd,101
36.68,1804,Arthur St,101
37.88,1805,W. Ferris St,101
38.11,1806,Highland St,101
38.38,1807,Tices Ln,101
38.89,1808,Edgeboro Rd / Old Bridge Turnpike (CR-527),101
39.29,1809,S. Woodland Ave / Eggers St,101
39.98,1810,Naricon Pl,101
40.47,1811,Tunison Rd,240
40.90,1812,Paulus Blvd,240
16.04,7300,Jackson Rd (CR-534),106
16.63,7301,Edgewood Ave,106
17.12,7302,Taunton Ave,106
17.67,7303,Berlin Cross Keys Rd / Walker Ave,106
17.6X,7304,Zulker Ave / Walker Ave,106
17.97,7305,Prospect Ave / Berlin Circle Plaza,106
18.37,7306,Franklin Ave (CR-692),106
19.24,7307,Cooper Rd (CR-675),106
19.65,7308,Lakeside Ave / Signal Hill Dr,106
20.04,7309,Bowman Dr (formerly Campus Dr) / Cedar Hill Rd,106
20.40,7310,William Feather Dr,106
20.90,7311,Dutchtown Rd,106
21.43,7312,Haddonfield-Kresson Rd (CR-671) / Braddock Mill Rd,106
22.28,7314,Ardsley Dr / Target Store,106
22.80,7315,Evesham Rd (CR-544) / Marlton Pkwy (CR-544),106
23.19,7316,Brick Rd,106
23.61,7317,Centre Blvd / S. Maple Ave,106
24.87,7318,Holtec Dr / Lincoln Dr South,106
25.35,7319,Greentree Rd,106
25.75,7320,Lincoln Dr North,106
26.15,7321,Atrium Wy,106
26.47,7322,Church Rd (CR-616) / Ramblewood Pkwy,106
26.81,7323,Rogers Walk (formerly Howard Blvd) / Executive,106
27.32,7324,Fellowship Rd (CR-673),106
27.94,7325,Waverly Ave / Willow Rd,106
29.12,7326,Fellowship Rd (CR-610) / Fox Meadow Dr,106
30.43,7327,Stiles Ave (CR-609) / Princeton Ave,106
31.12,7328,High St,106
31.65,7329,Fork Landing Rd,106
5.98,10012,Bakers Basin Rd / Franklin Corner Rd (CR-546),181
10.00,10015,Carnegie Center Blvd,91
11.27,10017,Washington Rd,1000
11.38,10018,Fisher Pl,1000
11.83,10019,Harrison St (CR-629) / Union Rd_Sarnoff Drwy,1000
14.12,10020,Independence Wy,101
14.57,10021,Ridge Rd,101
15.85,10022,Raymond Rd,101
16.47,10023,Promenade Blvd (CR-522) / Stouts Ln (CR-522),101
16.96,10024,Wynwood Dr / Whispering Woods Blvd,101
17.54,10025,New Rd,101
18.34,10026,Sand Hill Rd / Major Rd,101
19.07,10027,Beekman Rd / Northumberland Wy,101
19.74,10028,Deans Ln (CR-610),101
19.94,10029,Henderson Rd (CR-610),101
20.42,10030,Blackhorse Ln,101
20.73,10031,Finnegans Ln (CR-682),101
21.38,10032,Aaron Rd,101
21.94,10033,Commerce Blvd,101
22.44,10034,Adams Ln / Cozzens Ln,101
23.77,10035,North Oaks Blvd,101
24.15,10036,Fashion Plaza,101
29.06,10040,Plainfield Ave (CR-529),102
29.52,10041,Wooding Ave,102
29.88,10042,Old Post Rd (South),102
30.54,10043,Old Post Rd (North),102
30.79,10044,Edison Towne Square,102
31.10,10045,Forrest Haven Blvd,102
31.48,10046,Prince St,102
33.11,10047,Grandview Ave (CR-660),102
33.64,10048,Parsonage Rd (CR-657),102
33.64,10049,Parsonage Rd (CR-657) / Lafayette Ave,102
34.24,10050,Ford Ave,102
35.10,10051,Woodbridge Center Dr / Gill Ln,102
35.69,10052,Green St (CR-604),102
67.22,13080,Mercer St (NJ-33),100
67.50,13081,Hickory Corner Rd,100
68.21,13082,Dutch Neck Rd,100
68.57,13083,Princeton-Hightstown Rd (CR-571) / Stockton St (CR-571),1000
68.82,13084,East Windsor Shopping Center / Americana Diner,1000
68.97,13085,Town Center Rd / Rocky Brook Rd,1000
69.79,13086,Old Cranbury Rd,240
70.92,13087,Old Trenton Rd (CR-685),100
71.30,13088,Cranbury-Station Rd (CR-615),100
71.99,13089,Cranbury Half Acre Rd (CR-535),1000
72.08,13090,S. River Rd (CR-535),100
72.86,13091,Dey Rd (CR-614),100
73.55,13092,Broadway Rd,100
74.25,13093,Rt NJ-32 East / NJ Turnpike Park & Ride,100
74.51,13094,Rt NJ-32 West / Friendship Rd,100
0.46,13095,Herrod Blvd / Commerce Dr,150
0.90,13096,Cranbury Rd / S. River Rd (CR-535),240
